scenario,sf,workers,strategy,query_id,distributed_elapsed_sec,baseline_elapsed_sec,speedup,speedup_class
SF10_N2_D1,10,2,D1,Q199,0.351,0.644,1.8347578347578348,Citus mai rapid
SF10_N2_D1,10,2,D1,Q200,1.363,2.396,1.7578870139398386,Citus mai rapid
SF10_N2_D1,10,2,D1,Q201,0.819,1.485,1.8131868131868134,Citus mai rapid
SF10_N2_D1,10,2,D1,Q202,0.755,1.459,1.9324503311258279,Citus mai rapid
SF10_N2_D1,10,2,D1,Q203,2.442,6.259,2.563063063063063,Citus mai rapid
SF10_N2_D1,10,2,D1,Q204,0.28,0.875,3.1249999999999996,Citus mai rapid
SF10_N2_D1,10,2,D1,Q205,0.28,0.904,3.228571428571428,Citus mai rapid
SF10_N2_D1,10,2,D1,Q206,0.389,1.358,3.4910025706940875,Citus mai rapid
SF10_N2_D1,10,2,D1,Q207,0.346,1.353,3.910404624277457,Citus mai rapid
SF10_N2_D1,10,2,D1,Q212,14.682,16.017,1.0909276665304455,Citus mai rapid
SF10_N2_D1,10,2,D1,Q213,17.52,17.013,0.9710616438356166,Citus mai lent
SF10_N2_D1,10,2,D1,Q214,18.909,17.412,0.9208313501507219,Citus mai lent
SF10_N2_D1,10,2,D1,Q215,17.868,18.382,1.0287665099619434,Citus mai rapid
SF10_N2_D1,10,2,D1,Q216,2.566,5.812,2.2650038971161344,Citus mai rapid
SF10_N2_D1,10,2,D1,Q217,2.987,12.682,4.245731503180449,Citus mai rapid
SF10_N2_D1,10,2,D1,Q218,2.839,9.727,3.426206410707996,Citus mai rapid
SF10_N2_D1,10,2,D1,Q219,12.626,13.939,1.103991763028671,Citus mai rapid
SF10_N2_D1,10,2,D1,Q220,20.728,18.762,0.9051524507912002,Citus mai lent
SF10_N2_D1,10,2,D1,Q221,21.303,18.101,0.8496925315683236,Citus mai lent
SF10_N2_D1,10,2,D1,Q222,24.46,20.774,0.8493049877350777,Citus mai lent
SF10_N2_D1,10,2,D1,Q223,2.183,16.524,7.569399908382961,Citus mai rapid
SF10_N2_D1,10,2,D1,Q224,2.146,17.352,8.08574091332712,Citus mai rapid
SF10_N2_D1,10,2,D1,Q225,6.281,9.651,1.5365387677121478,Citus mai rapid
SF10_N2_D1,10,2,D1,Q226,6.038,5.197,0.8607154686982444,Citus mai lent
SF10_N2_D1,10,2,D1,Q227,8.779,6.742,0.7679690169723203,Citus mai lent
SF10_N2_D1,10,2,D1,Q228,9.128,6.26,0.6858019281332165,Citus mai lent
SF10_N2_D1,10,2,D1,Q229,6.475,9.946,1.536061776061776,Citus mai rapid
SF10_N2_D1,10,2,D1,Q230,2.376,10.041,4.226010101010101,Citus mai rapid
SF10_N2_D1,10,2,D1,Q231,2.247,9.028,4.017801513128616,Citus mai rapid
SF10_N2_D1,10,2,D1,Q232,2.276,9.182,4.034270650263621,Citus mai rapid
SF10_N2_D1,10,2,D1,Q234,41.468,39.784,0.9593903732998937,Citus mai lent
