sf,strategy,query_id,elapsed_N2,elapsed_N5,node_scaling_speedup,time_reduction_pct,scaling_efficiency,time_comparison_class
10,D2,Q202,0.705,0.658,1.0714285714285714,6.666666666666657,0.42857142857142855,N5 mai rapid
10,D2,Q203,2.159,2.448,0.8819444444444444,-13.38582677165355,0.35277777777777775,N2 mai rapid
10,D2,Q204,0.304,0.33,0.9212121212121211,-8.552631578947375,0.36848484848484847,N2 mai rapid
10,D2,Q205,0.277,0.274,1.010948905109489,1.08303249097473,0.40437956204379566,Similar (+/-5%)
10,D2,Q206,0.384,0.41,0.9365853658536586,-6.770833333333324,0.3746341463414634,N2 mai rapid
10,D2,Q207,0.392,0.415,0.9445783132530121,-5.8673469387755,0.37783132530120483,N2 mai rapid
10,D2,Q208,6.878,5.631,1.2214526727046706,18.130270427449837,0.48858106908186827,N5 mai rapid
10,D2,Q209,2.217,2.463,0.9001218026796589,-11.096075778078482,0.3600487210718636,N2 mai rapid
10,D2,Q210,2.176,2.292,0.949389179755672,-5.330882352941161,0.37975567190226883,N2 mai rapid
10,D2,Q211,2.142,2.194,0.9762989972652689,-2.427637721755371,0.39051959890610755,Similar (+/-5%)
10,D2,Q212,5.239,5.561,0.9420967451897141,-6.146211108990267,0.37683869807588566,N2 mai rapid
10,D2,Q213,10.618,10.514,1.0098915731405746,0.9794688265210114,0.4039566292562299,Similar (+/-5%)
10,D2,Q214,10.867,10.735,1.0122962272938987,1.2146866660532016,0.4049184909175595,Similar (+/-5%)
10,D2,Q215,9.997,10.687,0.935435575933377,-6.902070621186351,0.3741742303733508,N2 mai rapid
10,D2,Q216,3.453,3.648,0.9465460526315789,-5.647263249348401,0.37861842105263155,N2 mai rapid
10,D2,Q217,3.794,4.156,0.9128970163618865,-9.541381128096987,0.3651588065447546,N2 mai rapid
10,D2,Q218,4.269,4.195,1.0176400476758045,1.733427032091821,0.4070560190703218,Similar (+/-5%)
10,D2,Q219,6.839,7.252,0.9430501930501931,-6.038894575230287,0.3772200772200772,N2 mai rapid
10,D2,Q220,13.768,13.485,1.020986281053022,2.0554909936083763,0.4083945124212088,Similar (+/-5%)
10,D2,Q221,12.87,13.57,0.948415622697126,-5.439005439005448,0.3793662490788504,N2 mai rapid
10,D2,Q222,13.377,13.317,1.0045055192610948,0.4485310607759624,0.4018022077044379,Similar (+/-5%)
10,D2,Q223,2.728,2.952,0.924119241192412,-8.211143695014652,0.36964769647696477,N2 mai rapid
10,D2,Q224,3.145,3.075,1.0227642276422764,2.2257551669316324,0.4091056910569105,Similar (+/-5%)
10,D2,Q225,4.651,3.968,1.1721270161290323,14.68501397548914,0.4688508064516129,N5 mai rapid
10,D2,Q226,3.806,3.908,0.973899692937564,-2.679978980557012,0.3895598771750256,Similar (+/-5%)
10,D2,Q227,6.38,6.217,1.0262184333279718,2.554858934169283,0.41048737333118873,Similar (+/-5%)
10,D2,Q228,5.831,6.049,0.9639609852868243,-3.7386383124678435,0.3855843941147297,Similar (+/-5%)
10,D2,Q229,2.153,2.159,0.9972209356183419,-0.27868091035763043,0.39888837424733675,Similar (+/-5%)
10,D2,Q230,1.638,1.973,0.830207805372529,-20.451770451770464,0.3320831221490116,N2 mai rapid
10,D2,Q231,1.613,1.671,0.9652902453620587,-3.5957842529448265,0.38611609814482345,Similar (+/-5%)
10,D2,Q232,1.622,1.656,0.9794685990338166,-2.0961775585696554,0.39178743961352663,Similar (+/-5%)
