mtry,min_n,.metric,.estimator,mean,n,std_err,.config
9,14,rmse,standard,0.45308911938021984,5,0.015819599954058922,Preprocessor1_Model38
9,14,rsq,standard,0.7482946900026991,5,0.017999525497260062,Preprocessor1_Model38
13,7,mae,standard,0.30903719114440403,5,0.00968358726599128,Preprocessor1_Model39
13,7,rmse,standard,0.41200448396383904,5,0.01687863927433264,Preprocessor1_Model39
13,7,rsq,standard,0.7809897464438964,5,0.016816531885995342,Preprocessor1_Model39
14,9,mae,standard,0.31293163777300725,5,0.009893619652060778,Preprocessor1_Model40
14,9,rmse,standard,0.41642045556761426,5,0.01747891189147631,Preprocessor1_Model40
14,9,rsq,standard,0.7752917561869423,5,0.017880521621328308,Preprocessor1_Model40
19,33,mae,standard,0.36920364883745616,5,0.010332595683056656,Preprocessor1_Model41
19,33,rmse,standard,0.4782951495709136,5,0.01640250894281705,Preprocessor1_Model41
19,33,rsq,standard,0.6986329239467703,5,0.019289164855121194,Preprocessor1_Model41
34,37,mae,standard,0.3716698521611649,5,0.009315117297983207,Preprocessor1_Model42
34,37,rmse,standard,0.482098235593882,5,0.015586504388414532,Preprocessor1_Model42
34,37,rsq,standard,0.6894076334939767,5,0.017707727082136856,Preprocessor1_Model42
28,15,mae,standard,0.31739210700306236,5,0.0089190020640139,Preprocessor1_Model43
28,15,rmse,standard,0.4220906756258558,5,0.015854083690728247,Preprocessor1_Model43
28,15,rsq,standard,0.7633715046117873,5,0.015484968314280463,Preprocessor1_Model43
26,17,mae,standard,0.3247257811041337,5,0.00892777129324632,Preprocessor1_Model44
26,17,rmse,standard,0.42996911740733995,5,0.015760159882667543,Preprocessor1_Model44
26,17,rsq,standard,0.7548973422752193,5,0.016001454954462552,Preprocessor1_Model44
22,24,mae,standard,0.34759430702556343,5,0.009920941347377735,Preprocessor1_Model45
22,24,rmse,standard,0.4548680837653798,5,0.016506369472832988,Preprocessor1_Model45
22,24,rsq,standard,0.7263406567651675,5,0.018095534844777786,Preprocessor1_Model45
16,34,mae,standard,0.3730154852402302,5,0.010694456714153774,Preprocessor1_Model46
16,34,rmse,standard,0.48269867785729276,5,0.016711272376675523,Preprocessor1_Model46
16,34,rsq,standard,0.6953140649988838,5,0.020056505042209002,Preprocessor1_Model46
27,11,mae,standard,0.30399385869780904,5,0.008707842769077876,Preprocessor1_Model47
27,11,rmse,standard,0.4085755356506998,5,0.015560115377751009,Preprocessor1_Model47
27,11,rsq,standard,0.7780396738693711,5,0.014613475374055324,Preprocessor1_Model47
32,26,mae,standard,0.34746065088707123,5,0.00888776900432349,Preprocessor1_Model48
32,26,rmse,standard,0.45471148703866027,5,0.015430143007914838,Preprocessor1_Model48
32,26,rsq,standard,0.7246620251317759,5,0.016248618658731166,Preprocessor1_Model48
17,9,mae,standard,0.3078830260381092,5,0.009143073299050754,Preprocessor1_Model49
17,9,rmse,standard,0.41130763338594223,5,0.016276440817021738,Preprocessor1_Model49
17,9,rsq,standard,0.7782105645163798,5,0.01578799805585876,Preprocessor1_Model49
31,19,mae,standard,0.3279317570506702,5,0.008528340883026087,Preprocessor1_Model50
31,19,rmse,standard,0.4336313836899584,5,0.015133675492088624,Preprocessor1_Model50
31,19,rsq,standard,0.74981071694822,5,0.015033305784521703,Preprocessor1_Model50
7,10,mae,standard,0.35857755515386497,5,0.008585435223011618,Preprocessor1_Model51
7,10,rmse,standard,0.45921583490744783,5,0.014897687611350666,Preprocessor1_Model51
7,10,rsq,standard,0.7522241770566388,5,0.01738005487593988,Preprocessor1_Model51
23,8,mae,standard,0.29690640080418973,5,0.009087037729221344,Preprocessor1_Model52
23,8,rmse,standard,0.4008308703391417,5,0.016508059105568892,Preprocessor1_Model52
23,8,rsq,standard,0.7867489250442171,5,0.015586332405312788,Preprocessor1_Model52
23,11,mae,standard,0.3079930334626999,5,0.009546831715780626,Preprocessor1_Model53
23,11,rmse,standard,0.4124430533956194,5,0.016658652421739382,Preprocessor1_Model53
23,11,rsq,standard,0.7745973598241229,5,0.01610413513666256,Preprocessor1_Model53
32,25,mae,standard,0.3454529833581973,5,0.009085742220642633,Preprocessor1_Model54
32,25,rmse,standard,0.4529426372488454,5,0.015507637104196814,Preprocessor1_Model54
32,25,rsq,standard,0.7267473262684782,5,0.01632236718368127,Preprocessor1_Model54
18,24,mae,standard,0.35178258458570333,5,0.0104476488176935,Preprocessor1_Model55
18,24,rmse,standard,0.45900382150975283,5,0.016592586479508332,Preprocessor1_Model55
18,24,rsq,standard,0.723381330621835,5,0.01850677401399789,Preprocessor1_Model55
35,27,mae,standard,0.34861980400627124,5,0.008964027774526862,Preprocessor1_Model56
35,27,rmse,standard,0.4564424545056993,5,0.015478544512811622,Preprocessor1_Model56
35,27,rsq,standard,0.7221407786262855,5,0.01625672012011923,Preprocessor1_Model56
5,34,mae,standard,0.4349491526524646,5,0.007409342661195951,Preprocessor1_Model57
5,34,rmse,standard,0.5439619182603591,5,0.012893370728365086,Preprocessor1_Model57
5,34,rsq,standard,0.6769327276344032,5,0.019936595556537602,Preprocessor1_Model57
14,30,mae,standard,0.3693307378125148,5,0.010240656675886015,Preprocessor1_Model58
14,30,rmse,standard,0.4777049027572629,5,0.016603286734872238,Preprocessor1_Model58
14,30,rsq,standard,0.7049803544136408,5,0.019756076505635628,Preprocessor1_Model58
6,11,mae,standard,0.3763806968691353,5,0.008244798049088392,Preprocessor1_Model59
6,11,rmse,standard,0.47781050890970966,5,0.01448221730140551,Preprocessor1_Model59
6,11,rsq,standard,0.7406227002473712,5,0.017850761275227566,Preprocessor1_Model59
26,14,mae,standard,0.3163109315267019,5,0.008962990117210265,Preprocessor1_Model60
26,14,rmse,standard,0.4209607687774131,5,0.016017437328799837,Preprocessor1_Model60
26,14,rsq,standard,0.7648092579835264,5,0.01583482794589215,Preprocessor1_Model60
23,12,mae,standard,0.31180613277387226,5,0.008842002490005347,Preprocessor1_Model61
23,12,rmse,standard,0.4161564197504748,5,0.016073674781692724,Preprocessor1_Model61
23,12,rsq,standard,0.7706532752187982,5,0.015631603030940945,Preprocessor1_Model61
26,26,mae,standard,0.3504660243287394,5,0.009715593227298779,Preprocessor1_Model62
26,26,rmse,standard,0.45794426602035065,5,0.015974482544767684,Preprocessor1_Model62
26,26,rsq,standard,0.7216002891546349,5,0.017355313726636568,Preprocessor1_Model62
33,27,mae,standard,0.3494342799647443,5,0.008806822023351635,Preprocessor1_Model63
33,27,rmse,standard,0.4572117780428011,5,0.015194234479525585,Preprocessor1_Model63
33,27,rsq,standard,0.7215967861877945,5,0.016126536662252243,Preprocessor1_Model63
26,8,mae,standard,0.2942014277098846,5,0.008581207916590467,Preprocessor1_Model64
26,8,rmse,standard,0.3984244774267378,5,0.016295329085770905,Preprocessor1_Model64
26,8,rsq,standard,0.7885857230416496,5,0.015174937298767482,Preprocessor1_Model64
24,26,mae,standard,0.3514699827770057,5,0.009678421505465688,Preprocessor1_Model65
24,26,rmse,standard,0.4589256606465404,5,0.01632143438436268,Preprocessor1_Model65
24,26,rsq,standard,0.7210277126144318,5,0.018156967611849387,Preprocessor1_Model65
36,24,mae,standard,0.34028994876461544,5,0.008413409132755581,Preprocessor1_Model66
36,24,rmse,standard,0.4464592952792384,5,0.015075946023838228,Preprocessor1_Model66
36,24,rsq,standard,0.734186337950906,5,0.015212053988709772,Preprocessor1_Model66
31,27,mae,standard,0.350826150534047,5,0.00902421925313028,Preprocessor1_Model67
31,27,rmse,standard,0.45814291304898747,5,0.015328327362568143,Preprocessor1_Model67
31,27,rsq,standard,0.7205728945782647,5,0.01635278766793346,Preprocessor1_Model67
13,33,mae,standard,0.37507556494386285,5,0.010395430776964022,Preprocessor1_Model68
13,33,rmse,standard,0.4848272824049039,5,0.016669013989322155,Preprocessor1_Model68
13,33,rsq,standard,0.6972131845516633,5,0.020439090854547804,Preprocessor1_Model68
32,21,mae,standard,0.3332168200274403,5,0.008336992699269474,Preprocessor1_Model69
32,21,rmse,standard,0.4395044981891598,5,0.015143759911805377,Preprocessor1_Model69
32,21,rsq,standard,0.743066187719994,5,0.015151687167445794,Preprocessor1_Model69
31,25,mae,standard,0.34578486036470135,5,0.009117066535659888,Preprocessor1_Model70
31,25,rmse,standard,0.45273298696223113,5,0.015787150663810087,Preprocessor1_Model70
31,25,rsq,standard,0.7271176214982731,5,0.016761194364271283,Preprocessor1_Model70
15,38,mae,standard,0.3793763189382488,5,0.0109379229003913,Preprocessor1_Model71
15,38,rmse,standard,0.48971273563970497,5,0.01686814755968337,Preprocessor1_Model71
15,38,rsq,standard,0.6876033440628975,5,0.02061251121214501,Preprocessor1_Model71
30,24,mae,standard,0.3428835397985643,5,0.008622429620643144,Preprocessor1_Model72
30,24,rmse,standard,0.4495379128375897,5,0.015199888036948052,Preprocessor1_Model72
30,24,rsq,standard,0.7314071526398648,5,0.01580065166169894,Preprocessor1_Model72
33,15,mae,standard,0.3132437025135716,5,0.008192087557831308,Preprocessor1_Model73
