mtry,min_n,.metric,.estimator,mean,n,std_err,.config
22,24,roc_auc,binary,0.8900760757716163,5,0.019898294682874875,Preprocessor1_Model45
22,24,sens,binary,0.9716186748672072,5,0.02275847526764839,Preprocessor1_Model45
22,24,spec,binary,0.41576504273133486,5,0.1509781471637132,Preprocessor1_Model45
16,34,accuracy,binary,0.8986330532212885,5,0.02105731449186264,Preprocessor1_Model46
16,34,bal_accuracy,binary,0.6351549516553144,5,0.055008801761993284,Preprocessor1_Model46
16,34,roc_auc,binary,0.8918577130670285,5,0.020291648465689816,Preprocessor1_Model46
16,34,sens,binary,0.9739670114621191,5,0.02046754050702763,Preprocessor1_Model46
16,34,spec,binary,0.2963428918485098,5,0.11115998461219215,Preprocessor1_Model46
27,11,accuracy,binary,0.9006610644257703,5,0.020239977619804055,Preprocessor1_Model47
27,11,bal_accuracy,binary,0.6942748005384667,5,0.06837067649180661,Preprocessor1_Model47
27,11,roc_auc,binary,0.8903385453827248,5,0.016781437740368863,Preprocessor1_Model47
27,11,sens,binary,0.9660429853118908,5,0.024198447588088645,Preprocessor1_Model47
27,11,spec,binary,0.4225066157650427,5,0.14986991921175194,Preprocessor1_Model47
32,26,accuracy,binary,0.9006050420168067,5,0.020068790827830515,Preprocessor1_Model48
32,26,bal_accuracy,binary,0.688917546186796,5,0.06907547475407015,Preprocessor1_Model48
32,26,roc_auc,binary,0.8806696437946878,5,0.02211221606783366,Preprocessor1_Model48
32,26,sens,binary,0.968811622675965,5,0.024923239768970762,Preprocessor1_Model48
32,26,spec,binary,0.409023469697627,5,0.1523768577290405,Preprocessor1_Model48
17,9,accuracy,binary,0.903406162464986,5,0.019800592432510422,Preprocessor1_Model49
17,9,bal_accuracy,binary,0.701253903263386,5,0.06803901570214052,Preprocessor1_Model49
17,9,roc_auc,binary,0.8943589383318854,5,0.018586247798801553,Preprocessor1_Model49
17,9,sens,binary,0.9665180446943136,5,0.02435758901783095,Preprocessor1_Model49
17,9,spec,binary,0.43598976183245847,5,0.14854921424715917,Preprocessor1_Model49
31,19,accuracy,binary,0.8990924369747899,5,0.020651309849075677,Preprocessor1_Model50
31,19,bal_accuracy,binary,0.6888943527015883,5,0.06910808818607833,Preprocessor1_Model50
31,19,roc_auc,binary,0.8836002238128084,5,0.023674659279316484,Preprocessor1_Model50
31,19,sens,binary,0.9665180446943136,5,0.02435758901783095,Preprocessor1_Model50
31,19,spec,binary,0.411270660708863,5,0.15187880613512697,Preprocessor1_Model50
7,10,accuracy,binary,0.8986330532212885,5,0.02181888069616995,Preprocessor1_Model51
7,10,bal_accuracy,binary,0.6712705214787494,5,0.07570173030855316,Preprocessor1_Model51
7,10,roc_auc,binary,0.9031443812954546,5,0.02022428680623449,Preprocessor1_Model51
7,10,sens,binary,0.9739670114621191,5,0.02046754050702763,Preprocessor1_Model51
7,10,spec,binary,0.3685740314953798,5,0.163598336259941,Preprocessor1_Model51
23,8,accuracy,binary,0.9003137254901961,5,0.020651577325686475,Preprocessor1_Model52
23,8,bal_accuracy,binary,0.6995210056335698,5,0.06757429504108398,Preprocessor1_Model52
23,8,roc_auc,binary,0.8912008073384599,5,0.016712977780138086,Preprocessor1_Model52
23,8,sens,binary,0.963052249434681,5,0.02531695684037601,Preprocessor1_Model52
23,8,spec,binary,0.43598976183245847,5,0.14854921424715917,Preprocessor1_Model52
23,11,accuracy,binary,0.9056918767507003,5,0.01896453787395904,Preprocessor1_Model53
23,11,bal_accuracy,binary,0.702428071560842,5,0.0687475627713278,Preprocessor1_Model53
23,11,roc_auc,binary,0.8908492309755851,5,0.017046871927791342,Preprocessor1_Model53
23,11,sens,binary,0.9688663812892255,5,0.022055984380633865,Preprocessor1_Model53
23,11,spec,binary,0.43598976183245847,5,0.14854921424715917,Preprocessor1_Model53
32,25,accuracy,binary,0.9033389355742297,5,0.01921571567400222,Preprocessor1_Model54
32,25,bal_accuracy,binary,0.695821150854824,5,0.0683729266371155,Preprocessor1_Model54
